Product Name,Price in AED
Green Capsicum,4.5
Cauliflower (Lowest Price),5.2
Ginger (Lowest Price),6.3
Romaine Lettuce,7.1
White Round Cabbage (Lowest Price),7.6
Garlic,3.4
Red Onion,9.8
Brown Onion,2.4
Small Red Onions 3kg,4.25
White Mushrooms 250g,7.2
Eggplant (Lowest Price),6.5
Potatoes 3Kg (UAE),4.55
Beetroot,7.4
Iceberg Lettuce 1 Piece,3.3
Garlic 450g,11.1
Red Capsicum,4.95
Long Purple Eggplant,13.3
Potato (Lowest Price),8.95
Okra Long Beans,2.8
Ginger,9.1
Curly Kale Green Armela,5.85
Kerala Bitter Gourd,9.65
Vegberry Red Cherry Tomatoes 250g,11.6
Long White Pumpkin,7.5
White Baby Potatoes 1.5Kg Bag,3.1
Cabbage Red,14.8
Small Shallots,8.9
Green Bird\u0026#39;s Eye Chillies,7.3
White Onion,11
Carrot China Loose,5.15
Red Onions 5Kg Bag,5.1
White Flat Cabbage,14
Round Purple Eggplant,5.4
Premium Eggplant,5.6
Bean Sprouts,12.7
Chow Chow,7.6
White Radish,10.6
Red Bird Chili,6.1
Potatoes 3Kg,7.5
White Baby Potato,8.4
Red Baby Pumpkin,5.2
Red Cherry Tomatoes 250g,3.85
Green Fat Chillies,6.5
Gowar,6.5
Baby Corn 125g,10.3
Vegberry Cucumber Snack 250g,6.5
Garlic,7.45
Chinese Cabbage,13.5
Drumstick,14
Kinoko Chestnut Button Mushrooms 250g,9.2
Tindly,9.8
White Onions 1.5Kg Bag,9
Vegberry Red Cherry Tomatoes 500g,9.4
Ash Pumpkin,15
Radish Red Round 125g,4.5
Chili Green Thai 125g,4.4
Long Pumpkin Large,7.5
Green Zucchini,3.1
